sale_id,date,count_pizza,count_drink,price,user_id
1000001,2022-02-04 10:00:24,1,0,720,1c1543
1000002,2022-02-04 10:02:28,1,1,930,a9a6e8
1000003,2022-02-04 10:02:35,3,1,1980,23420a
1000004,2022-02-04 10:03:06,1,1,750,3e8ed5
1000005,2022-02-04 10:03:23,1,1,870,cbc468
1000006,2022-02-04 10:04:55,3,2,2400,583c90
1000007,2022-02-04 10:05:14,1,0,720,e3876e
1000008,2022-02-04 10:05:28,1,0,540,ee3fcb
1000009,2022-02-04 10:10:29,2,0,1560,67ee0e
1000010,2022-02-04 10:10:33,4,1,2730,19ce47
1000011,2022-02-04 10:10:34,1,0,660,cd9fc2
1000012,2022-02-04 10:14:25,2,1,1290,c37af8
1000013,2022-02-04 10:15:16,1,0,540,5b788c
1000014,2022-02-04 10:16:22,1,0,780,c1f1f9
1000015,2022-02-04 10:17:36,1,0,840,96b1bb
1000016,2022-02-04 10:18:05,2,0,1080,5298c2
1000017,2022-02-04 10:18:06,1,0,720,47ceb8
1000018,2022-02-04 10:18:16,1,0,600,77c049
1000019,2022-02-04 10:18:38,1,0,540,979634
1000020,2022-02-04 10:18:59,1,1,630,0b0341
1000021,2022-02-04 10:19:12,1,0,780,554f55
1000022,2022-02-04 10:19:31,2,0,1500,b6a894
1000023,2022-02-04 10:19:35,3,0,2280,7c9257
1000024,2022-02-04 10:19:42,1,1,750,99e177
1000025,2022-02-04 10:19:43,2,0,1380,6f041e
1000026,2022-02-04 10:20:04,3,2,2220,5b6dc2
1000027,2022-02-04 10:23:16,1,0,840,58407d
1000028,2022-02-04 10:24:09,3,1,2160,20800d
1000029,2022-02-04 10:26:20,1,0,780,ff9e58
1000030,2022-02-04 10:26:42,1,0,600,23b788
1000031,2022-02-04 10:26:54,6,0,4320,78db81
1000032,2022-02-04 10:26:57,1,0,720,3b75ed
1000033,2022-02-04 10:27:55,1,0,660,246807
1000034,2022-02-04 10:28:03,2,2,1440,1f219e
1000035,2022-02-04 10:28:12,2,1,1560,926639
1000036,2022-02-04 10:28:26,2,1,1440,31d3ef
1000037,2022-02-04 10:28:46,3,1,2250,bb3458
1000038,2022-02-04 10:30:23,1,1,690,5c9e08
1000039,2022-02-04 10:31:11,2,1,1440,535fe6
1000040,2022-02-04 10:31:38,2,0,1380,9f7e71
1000041,2022-02-04 10:31:44,3,2,2220,b115de
1000042,2022-02-04 10:31:48,2,0,1560,cf8d27
1000043,2022-02-04 10:32:16,5,3,3720,662626
1000044,2022-02-04 10:32:22,1,0,600,d71c34
1000045,2022-02-04 10:33:13,1,0,600,d2a536
1000046,2022-02-04 10:33:23,1,0,660,74b45e
1000047,2022-02-04 10:33:27,2,1,1590,94bb29
1000048,2022-02-04 10:33:34,1,0,780,cdef68
1000049,2022-02-04 10:33:44,2,0,1260,396729
1000050,2022-02-04 10:34:01,1,1,600,bf3fc9
1000051,2022-02-04 10:34:13,1,0,780,ee6207
1000052,2022-02-04 10:34:17,2,0,1080,99b7ea
1000053,2022-02-04 10:34:49,1,0,780,dd546c
1000054,2022-02-04 10:34:53,1,0,600,da1474
1000055,2022-02-04 10:35:03,1,0,840,d0fe0d
1000056,2022-02-04 10:35:10,1,1,870,1bfbfa
1000057,2022-02-04 10:35:11,1,1,660,1e7dfc
1000058,2022-02-04 10:35:47,1,0,780,226a4b
1000059,2022-02-04 10:36:02,3,0,2040,abfb84
1000060,2022-02-04 10:36:19,3,1,2130,5138f1
1000061,2022-02-04 10:36:43,2,0,1320,767f51
1000062,2022-02-04 10:36:53,2,1,1440,ff06c7
1000063,2022-02-04 10:37:27,2,0,1440,08daab
1000064,2022-02-04 10:37:36,3,1,2130,53b961
1000065,2022-02-04 10:37:40,1,0,720,c2d425
1000066,2022-02-04 10:37:47,1,0,720,33e164
1000067,2022-02-04 10:37:59,2,1,1410,18bdae
1000068,2022-02-04 10:39:15,2,0,1560,e1f48d
1000069,2022-02-04 10:39:30,1,1,870,9b983e
