dt,currency,cur_rate
2025-01-09,USD,94.12
2025-01-10,USD,95.67
2025-01-13,USD,93.71
2025-01-14,USD,95.32
2025-01-15,USD,96.62
2025-01-16,USD,94.28
2025-01-17,USD,95.68
2025-01-20,USD,93.75
2025-01-21,USD,95.5
2025-01-22,USD,94.35
2025-01-23,USD,93.84
2025-01-24,USD,94.25
2025-01-27,USD,93.72
2025-01-28,USD,96.61
2025-01-29,USD,94.59
2025-01-30,USD,93.98
2025-01-31,USD,94.79
2025-02-03,USD,94.28
2025-02-04,USD,95.98
2025-02-05,USD,96.88
2025-02-06,USD,94.75
2025-02-07,USD,96.44
2025-02-10,USD,95.26
2025-02-11,USD,93.63
2025-02-12,USD,95.76
2025-02-13,USD,95.05
2025-02-14,USD,95.6
2025-02-17,USD,96.56
2025-02-18,USD,94.76
2025-02-19,USD,96.6
2025-02-20,USD,96.0
2025-02-21,USD,94.95
2025-02-25,USD,95.41
2025-02-26,USD,94.3
2025-02-27,USD,96.93
2025-02-28,USD,95.67
2025-03-03,USD,93.18
2025-03-04,USD,94.31
2025-03-05,USD,95.49
2025-03-06,USD,93.23
2025-03-07,USD,93.1
2025-03-11,USD,94.8
2025-03-12,USD,94.33
2025-03-13,USD,94.75
2025-03-14,USD,94.05
2025-03-17,USD,93.66
2025-03-18,USD,95.76
2025-03-19,USD,95.06
2025-03-20,USD,93.8
2025-03-21,USD,94.28
2025-03-24,USD,95.37
2025-03-25,USD,93.29
2025-03-26,USD,93.59
2025-03-27,USD,93.29
2025-03-28,USD,96.25
2025-03-31,USD,96.01
2025-04-01,USD,96.01
2025-04-02,USD,95.87
2025-04-03,USD,95.68
2025-04-04,USD,94.91
2025-04-07,USD,95.57
2025-04-08,USD,93.15
2025-04-09,USD,95.49
2025-04-10,USD,96.11
2025-04-11,USD,95.0
2025-04-14,USD,94.43
2025-04-15,USD,94.11
2025-04-16,USD,95.57
2025-04-17,USD,95.77
2025-04-18,USD,96.48
2025-04-21,USD,94.37
2025-04-22,USD,96.08
2025-04-23,USD,95.25
2025-04-24,USD,96.53
2025-04-25,USD,95.11
2025-04-28,USD,95.07
2025-04-29,USD,95.31
2025-04-30,USD,96.0
2025-05-05,USD,96.86
2025-05-06,USD,93.29
2025-05-07,USD,93.21
2025-05-08,USD,96.75
2025-05-12,USD,95.12
2025-05-13,USD,95.46
2025-05-14,USD,94.93
2025-05-15,USD,93.37
2025-05-16,USD,96.07
2025-05-19,USD,95.99
