dt,currency,trx
2024-12-31,USD,12858.93
2025-01-01,USD,9653.87
2025-01-02,USD,5157.57
2025-01-03,USD,8613.1
2025-01-04,USD,14616.87
2025-01-05,USD,12035.83
2025-01-06,USD,12733.95
2025-01-07,USD,3393.91
2025-01-08,USD,8614.31
2025-01-09,USD,35864.85
2025-01-10,USD,43201.31
2025-01-11,USD,3591.28
2025-01-12,USD,13229.27
2025-01-13,USD,31936.04
2025-01-14,USD,17892.56
2025-01-15,USD,22690.21
2025-01-16,USD,21277.18
2025-01-17,USD,31234.36
2025-01-18,USD,3620.23
2025-01-19,USD,4902.43
2025-01-20,USD,42507.72
2025-01-21,USD,15304.16
2025-01-22,USD,19335.85
2025-01-23,USD,28134.82
2025-01-24,USD,30684.84
2025-01-25,USD,12163.33
2025-01-26,USD,8367.99
2025-01-27,USD,41594.58
2025-01-28,USD,34733.85
2025-01-29,USD,14523.99
2025-01-30,USD,16253.26
2025-01-31,USD,27481.35
2025-02-01,USD,7762.67
2025-02-02,USD,11922.53
2025-02-03,USD,33229.49
2025-02-04,USD,25525.32
2025-02-05,USD,16830.41
2025-02-06,USD,19073.48
2025-02-07,USD,33020.04
2025-02-08,USD,8081.27
2025-02-09,USD,9179.13
2025-02-10,USD,16827.1
2025-02-11,USD,36516.25
2025-02-12,USD,44101.55
2025-02-13,USD,20317.58
2025-02-14,USD,29660.57
2025-02-15,USD,14706.33
2025-02-16,USD,6998.9
2025-02-17,USD,33801.85
2025-02-18,USD,13607.83
2025-02-19,USD,34240.6
2025-02-20,USD,13585.27
2025-02-21,USD,48369.42
2025-02-22,USD,11587.95
2025-02-23,USD,12457.92
2025-02-24,USD,11449.25
2025-02-25,USD,33589.16
2025-02-26,USD,27996.51
2025-02-27,USD,44334.94
2025-02-28,USD,48273.43
2025-03-01,USD,8988.43
2025-03-02,USD,14178.42
2025-03-03,USD,33333.32
2025-03-04,USD,31535.37
2025-03-05,USD,28179.31
2025-03-06,USD,18371.51
2025-03-07,USD,10148.79
2025-03-08,USD,5898.07
2025-03-09,USD,9116.68
2025-03-10,USD,7559.52
